Wafer,Band,Row,Col,Width_nm,ER_dB,IL_dB,Vpi_V,FSR_nm,dlam_dV_pm_per_V,vpi_status,amplitude_ratio_k,power_split_ratio,imbalance_dB,mzm_loss_dB,is_outlier_ER_dB,robust_z_ER_dB,is_outlier_IL_dB,robust_z_IL_dB,is_outlier_Vpi_V,robust_z_Vpi_V,is_trusted
D07,C,-4,-1,450,34.371,-10.923,32.63,14.2551,-218.4,ok,0.96248,0.92637,0.33,0.739,False,-2.71,False,-0.97,True,-3.82,False
D07,C,-3,-3,450,39.212,-9.741,35.35,14.2148,-201.05,ok,0.97834,0.95715,0.19,0.826,False,1.9,False,0.69,False,0.82,True
D07,C,-3,0,450,38.696,-9.875,36.11,14.1636,-196.1,ok,0.97703,0.95458,0.2,0.641,False,1.41,False,0.51,False,2.12,True
D07,C,-3,2,450,36.72,-12.361,34.56,14.3791,-208.04,ok,0.97124,0.94331,0.25,0.832,False,-0.48,False,-2.98,False,-0.53,True
D07,C,-1,-3,450,38.416,-9.987,34.91,14.344,-205.43,ok,0.97628,0.95313,0.21,0.749,False,1.14,False,0.35,False,0.07,True
D07,C,-1,-1,450,36.597,-10.028,34.86,14.272,-204.71,ok,0.97084,0.94253,0.26,0.217,False,-0.59,False,0.29,False,-0.02,True
D07,C,-1,3,450,36.881,-10.702,31.31,14.2248,-227.18,ok,0.97176,0.94433,0.25,0.687,False,-0.32,False,-0.66,True,-6.08,False
D07,C,0,-4,450,38.014,-11.385,34.44,14.1879,-205.98,ok,0.97517,0.95096,0.22,0.338,False,0.76,False,-1.61,False,-0.73,True
D07,C,0,0,450,37.603,-10.471,35.47,14.2603,-201.0,ok,0.97399,0.94865,0.23,0.245,False,0.37,False,-0.33,False,1.02,True
D07,C,0,2,450,36.939,-9.158,34.99,14.5205,-207.5,ok,0.97195,0.94469,0.25,0.34,False,-0.27,False,1.51,False,0.2,True
D07,C,2,-3,450,40.336,-10.869,35.07,14.2345,-202.94,ok,0.98094,0.96225,0.17,0.079,False,2.97,False,-0.89,False,0.34,True
D07,C,2,-1,450,37.159,-9.427,29.68,14.499,-244.24,ok,0.97264,0.94603,0.24,0.212,False,-0.06,False,1.13,True,-8.86,False
D07,C,2,2,450,37.279,-10.442,34.88,14.316,-205.23,ok,0.97301,0.94675,0.24,-0.038,False,0.06,False,-0.29,False,0.02,True
D07,C,3,0,450,36.389,-9.808,34.51,14.4734,-209.72,ok,0.97014,0.94118,0.26,0.269,False,-0.79,False,0.6,False,-0.61,True
D08,C,-4,-1,450,36.843,-9.738,32.32,14.221,-220.01,ok,0.97164,0.94409,0.25,0.503,False,-0.23,False,0.71,False,-1.34,True
D08,C,-3,-3,450,37.06,-9.853,32.69,14.3109,-218.92,ok,0.97233,0.94543,0.24,0.725,False,-0.02,False,0.56,False,-1.08,True
D08,C,-3,0,450,36.589,-10.323,34.18,14.2406,-208.32,ok,0.97081,0.94248,0.26,0.078,False,-0.48,False,-0.06,False,-0.02,True
D08,C,-3,2,450,37.113,-12.083,31.92,14.1821,-222.17,ok,0.9725,0.94575,0.24,0.089,False,0.03,False,-2.39,False,-1.62,True
D08,C,-1,-3,450,35.932,-10.292,32.08,14.3754,-224.07,ok,0.96856,0.9381,0.28,0.271,False,-1.11,False,-0.02,False,-1.51,True
D08,C,-1,-1,450,35.448,-9.162,37.23,14.2729,-191.68,ok,0.96678,0.93467,0.29,0.331,False,-1.58,False,1.48,False,2.13,True
D08,C,-1,3,450,37.911,-10.763,34.98,14.162,-202.41,ok,0.97488,0.95039,0.22,0.513,False,0.8,False,-0.64,False,0.54,True
D08,C,0,-4,450,39.026,-12.481,36.13,14.3905,-199.12,ok,0.97787,0.95624,0.19,0.614,False,1.88,False,-2.92,False,1.35,True
D08,C,0,0,450,37.349,-9.8,33.14,14.2229,-214.56,ok,0.97323,0.94717,0.24,-0.048,False,0.26,False,0.63,False,-0.76,True
D08,C,0,2,450,36.498,-9.744,34.82,14.2086,-204.04,ok,0.97051,0.94189,0.26,0.331,False,-0.56,False,0.71,False,0.43,True
D08,C,2,-3,450,38.493,-11.849,35.05,14.2468,-203.22,ok,0.97649,0.95353,0.21,0.053,False,1.37,False,-2.08,False,0.59,True
D08,C,2,-1,450,39.186,-9.867,33.45,14.1746,-211.9,ok,0.97827,0.95702,0.19,-0.092,False,2.04,False,0.54,False,-0.54,True
D08,C,2,2,450,36.272,-11.982,34.25,14.2355,-207.84,ok,0.96974,0.9404,0.27,0.117,False,-0.78,False,-2.26,False,0.02,True
D08,C,3,0,450,37.102,-10.264,34.38,14.2148,-206.71,ok,0.97246,0.94569,0.24,0.085,False,0.02,False,0.02,False,0.12,True
D08,O,-4,-1,380,29.897,-8.174,26.78,9.6555,-180.3,ok,0.93798,0.87981,0.56,1.317,False,-2.18,False,-0.43,False,-0.81,True
D08,O,-3,-3,380,30.202,-9.367,29.32,9.7811,-166.8,ok,0.94006,0.88371,0.54,1.832,False,-1.86,False,-1.27,False,0.94,True
D08,O,-3,0,380,31.749,-8.149,29.5,9.8193,-166.41,ok,0.94959,0.90173,0.45,1.506,False,-0.21,False,-0.41,False,1.06,True
D08,O,-3,2,380,32.285,-8.518,26.46,9.8762,-186.65,ok,0.95254,0.90733,0.42,1.451,False,0.37,False,-0.67,False,-1.03,True
D08,O,-1,-3,380,32.17,-7.512,28.49,9.8279,-172.51,ok,0.95192,0.90615,0.43,1.943,False,0.24,False,0.03,False,0.37,True
D08,O,-1,-1,380,30.274,-6.595,30.46,9.8417,-161.57,ok,0.94054,0.88462,0.53,0.468,False,-1.78,False,0.68,False,1.72,True
D08,O,-1,3,380,32.435,-8.897,26.34,9.81,-186.21,ok,0.95333,0.90884,0.42,1.423,False,0.53,False,-0.94,False,-1.11,True
D08,O,0,-4,380,32.383,-8.239,27.28,9.7774,-179.2,ok,0.95306,0.90832,0.42,1.275,False,0.47,False,-0.48,False,-0.46,True
