Date,Wafer,Band,Row,Col,Width_nm,Length_um,ER_dB,IL_dB,Vpi_V,Vpi_L_V_cm,R2_dlam_vs_V,quality_grade,imbalance_dB,mzm_loss_dB,overall,vpi_extraction,er_phys,il_phys,vpi_phys,er_z,il_z,vpi_z,linearity,imbalance,loss,notes,figures,combined
2019-05-26,D08,O,-4,-1,380,500,29.897,-8.174,26.78,1.339,0.9859,B,0.56,1.317,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-4,-1)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-4,-1)/00_combined.png"
2019-05-26,D08,O,-3,-3,380,500,30.202,-9.367,29.32,1.466,0.9977,A,0.54,1.832,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-3,-3)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-3,-3)/00_combined.png"
2019-05-26,D08,O,-3,0,380,500,31.749,-8.149,29.5,1.475,0.9862,B,0.45,1.506,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-3,0)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-3,0)/00_combined.png"
2019-05-26,D08,O,-3,2,380,500,32.285,-8.518,26.46,1.323,0.9878,B,0.42,1.451,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-3,2)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-3,2)/00_combined.png"
2019-05-26,D08,O,-1,-3,380,500,32.17,-7.512,28.49,1.4245,0.9835,B,0.43,1.943,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-1,-3)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-1,-3)/00_combined.png"
2019-05-26,D08,O,-1,-1,380,500,30.274,-6.595,30.46,1.523,0.989,B,0.53,0.468,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-1,-1)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-1,-1)/00_combined.png"
2019-05-26,D08,O,-1,3,380,500,32.435,-8.897,26.34,1.317,0.986,B,0.42,1.423,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-1,3)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-1,3)/00_combined.png"
2019-05-26,D08,O,0,-4,380,500,32.383,-8.239,27.28,1.364,0.9943,A,0.42,1.275,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(0,-4)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(0,-4)/00_combined.png"
2019-05-26,D08,O,0,0,380,500,31.172,-6.248,30.36,1.518,0.9959,A,0.48,0.279,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(0,0)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(0,0)/00_combined.png"
2019-05-26,D08,O,0,2,380,500,30.347,-6.932,27.58,1.379,0.9934,A,0.53,0.957,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(0,2)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(0,2)/00_combined.png"
2019-05-26,D08,O,2,-3,380,500,32.134,-7.603,28.1,1.405,0.9779,B,0.43,0.767,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(2,-3)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(2,-3)/00_combined.png"
2019-05-26,D08,O,2,-1,380,500,32.724,-6.275,27.81,1.3905,0.9889,B,0.4,0.147,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(2,-1)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(2,-1)/00_combined.png"
2019-05-26,D08,O,2,2,380,500,33.164,-6.498,27.6,1.38,0.996,A,0.38,0.685,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(2,2)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(2,2)/00_combined.png"
2019-05-26,D08,O,3,0,380,500,31.483,-6.572,28.74,1.437,0.9802,B,0.46,0.55,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(3,0)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(3,0)/00_combined.png"
2019-07-12,D08,C,-4,-1,450,500,36.843,-9.738,32.32,1.616,0.9915,A,0.25,0.503,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-4,-1)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-4,-1)/00_combined.png"
2019-07-12,D08,C,-3,-3,450,500,37.06,-9.853,32.69,1.6345,0.9924,A,0.24,0.725,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-3,-3)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-3,-3)/00_combined.png"
2019-07-12,D08,C,-3,0,450,500,36.589,-10.323,34.18,1.709,0.9784,B,0.26,0.078,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-3,0)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-3,0)/00_combined.png"
2019-07-12,D08,C,-3,2,450,500,37.113,-12.083,31.92,1.596,0.9792,B,0.24,0.089,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-3,2)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-3,2)/00_combined.png"
2019-07-12,D08,C,-1,-3,450,500,35.932,-10.292,32.08,1.604,0.9811,B,0.28,0.271,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-1,-3)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-1,-3)/00_combined.png"
2019-07-12,D08,C,-1,-1,450,500,35.448,-9.162,37.23,1.8615,0.9851,B,0.29,0.331,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-1,-1)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-1,-1)/00_combined.png"
2019-07-12,D08,C,-1,3,450,500,37.911,-10.763,34.98,1.749,0.9901,A,0.22,0.513,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-1,3)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-1,3)/00_combined.png"
2019-07-12,D08,C,0,-4,450,500,39.026,-12.481,36.13,1.8065,0.995,A,0.19,0.614,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(0,-4)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(0,-4)/00_combined.png"
2019-07-12,D08,C,0,0,450,500,37.349,-9.8,33.14,1.657,0.9987,A,0.24,-0.048,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(0,0)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(0,0)/00_combined.png"
2019-07-12,D08,C,0,2,450,500,36.498,-9.744,34.82,1.741,0.9866,B,0.26,0.331,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(0,2)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(0,2)/00_combined.png"
