Wafer,Band,Row,Col,Width_nm,Length_um,ER_dB,IL_dB,Vpi_V,Vpi_L_V_cm,FSR_nm,dlam_dV_pm_per_V,R2_dlam_vs_V,quality_grade,vpi_status,amplitude_ratio_k,power_split_ratio,imbalance_dB,mzm_loss_dB,imbalance_V-2.00_dB,imbalance_V-1.50_dB,imbalance_V-1.00_dB,imbalance_V-0.50_dB,imbalance_V+0.00_dB,imbalance_V+0.50_dB,is_outlier_ER_dB,robust_z_ER_dB,is_outlier_IL_dB,robust_z_IL_dB,is_outlier_Vpi_V,robust_z_Vpi_V,is_trusted
D23,O,-4,-1,380,500,29.083,-8.322,36.18,1.809,9.6862,-133.85,0.9762,B,ok,0.9321,0.86881,0.61,1.418,0.664,0.655,0.658,0.687,0.63,0.612,False,-2.02,False,-1.12,False,-1.07,True
D23,O,-3,-3,380,500,31.257,-9.721,42.12,2.106,9.7797,-116.09,0.9804,B,ok,0.94673,0.8963,0.48,1.299,0.479,0.495,0.505,0.537,0.494,0.562,False,-0.46,False,-2.68,False,0.17,True
D23,O,-3,0,380,500,32.936,-7.292,42.05,2.1025,9.7898,-116.4,0.9936,A,ok,0.95589,0.91372,0.39,0.981,0.403,0.396,0.416,0.395,0.394,0.398,False,0.75,False,0.02,False,0.16,True
D23,O,-3,2,380,500,30.942,-7.466,35.49,1.7745,9.7281,-137.06,0.9939,A,ok,0.94482,0.89269,0.49,0.935,0.505,0.494,0.515,0.545,0.541,0.54,False,-0.68,False,-0.17,False,-1.22,True
D23,O,-1,-3,380,500,30.964,-9.174,45.89,2.2945,9.8252,-107.06,0.9321,C,ok,0.94496,0.89294,0.49,2.05,0.557,0.553,0.621,0.677,0.617,0.497,False,-0.67,False,-2.07,False,0.96,True
D23,O,-1,-1,380,500,30.056,-7.066,44.36,2.218,9.9555,-112.21,0.933,C,ok,0.93908,0.88186,0.55,0.87,0.681,0.603,0.617,0.581,0.548,0.658,False,-1.32,False,0.28,False,0.64,True
D23,O,-1,3,380,500,31.848,-7.954,35.16,1.758,9.9054,-140.86,0.9906,A,ok,0.95015,0.90278,0.44,1.069,0.51,0.487,0.5,0.457,0.445,0.495,False,-0.03,False,-0.71,False,-1.29,True
D23,O,0,-4,380,500,32.196,-8.017,38.29,1.9145,9.8096,-128.09,0.985,B,ok,0.95206,0.90642,0.43,0.983,0.441,0.45,0.431,0.431,0.457,0.469,False,0.22,False,-0.78,False,-0.63,True
D23,O,0,0,380,500,29.911,-6.744,46.64,2.332,9.9725,-106.92,0.9576,B,ok,0.93808,0.88,0.56,0.533,0.58,0.61,0.641,0.617,0.603,0.56,False,-1.42,False,0.63,False,1.12,True
D23,O,0,2,380,500,32.627,-6.911,40.54,2.027,9.7831,-120.67,0.9743,B,ok,0.95433,0.91074,0.41,0.894,0.413,0.406,0.43,0.427,0.44,0.425,False,0.53,False,0.45,False,-0.16,True
D23,O,2,-3,380,500,32.794,-7.334,37.81,1.8905,9.8753,-130.6,0.9913,A,ok,0.95518,0.91237,0.4,1.018,0.422,0.445,0.453,0.424,0.422,0.399,False,0.65,False,-0.02,False,-0.73,True
D23,O,2,-1,380,500,31.937,-6.962,42.12,2.106,9.9478,-118.08,0.9943,A,ok,0.95065,0.90373,0.44,0.464,0.444,0.467,0.458,0.459,0.442,0.444,False,0.03,False,0.39,False,0.17,True
D23,O,2,2,380,500,34.566,-6.487,42.37,2.1185,9.7892,-115.51,0.9967,A,ok,0.9633,0.92794,0.32,0.337,0.394,0.402,0.487,0.413,0.33,0.421,False,1.92,False,0.92,False,0.23,True
D23,O,3,0,380,500,34.394,-6.538,37.93,1.8965,9.7989,-129.17,0.9844,B,ok,0.96258,0.92656,0.33,0.297,0.362,0.348,0.337,0.333,0.349,0.336,False,1.8,False,0.86,False,-0.71,True
