Date,Wafer,Band,Row,Col,Width_nm,Length_um,ER_dB,IL_dB,Vpi_V,Vpi_L_V_cm,FSR_nm,dlam_dV_pm_per_V,R2_dlam_vs_V,quality_grade,vpi_status,amplitude_ratio_k,power_split_ratio,imbalance_dB,mzm_loss_dB,imbalance_V-2.00_dB,imbalance_V-1.50_dB,imbalance_V-1.00_dB,imbalance_V-0.50_dB,imbalance_V+0.00_dB,imbalance_V+0.50_dB,reason_ER_dB,out_of_bound_ER_dB,reason_IL_dB,out_of_bound_IL_dB,reason_Vpi_V,out_of_bound_Vpi_V,is_problematic
2019-05-31,D24,O,-4,-1,380,500,29.102,-8.821,,,9.7188,0.91,0.5966,F,slope_filter,0.93224,0.86907,0.61,1.694,0.617,0.617,0.619,0.611,0.61,0.623,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.91)",True,True
2019-05-31,D24,O,-3,-3,380,500,32.241,-9.843,,,9.9242,0.28,0.0954,F,slope_filter,0.9523,0.90688,0.42,1.344,0.443,0.439,0.434,0.438,0.427,0.429,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.28)",True,True
2019-05-31,D24,O,-3,0,380,500,31.9,-8.044,,,9.7826,0.27,0.0087,F,slope_filter,0.95044,0.90334,0.44,1.533,0.447,0.445,0.447,0.451,0.454,0.442,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.27)",True,True
2019-05-31,D24,O,-3,2,380,500,29.778,-8.036,,,9.7556,1.33,0.7216,F,slope_filter,0.93716,0.87826,0.56,1.465,0.568,0.587,0.59,0.58,0.625,0.633,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=1.33)",True,True
2019-05-31,D24,O,-1,-3,380,500,30.524,-8.673,,,9.8207,0.61,0.3039,F,slope_filter,0.94218,0.8877,0.52,0.428,0.521,0.526,0.526,0.534,0.527,0.56,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.61)",True,True
2019-05-31,D24,O,-1,-1,380,500,29.688,-6.785,,,9.8801,0.3,0.0676,F,slope_filter,0.93652,0.87707,0.57,0.846,0.602,0.572,0.581,0.592,0.596,0.593,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.30)",True,True
2019-05-31,D24,O,-1,3,380,500,32.253,-8.525,,,9.7756,1.76,0.2119,F,slope_filter,0.95237,0.907,0.42,1.146,0.426,0.428,0.428,0.424,0.426,0.427,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=1.76)",True,True
2019-05-31,D24,O,0,-4,380,500,32.91,-8.239,,,9.9109,-1.84,0.3511,F,slope_filter,0.95576,0.91348,0.39,1.557,0.394,0.409,0.421,0.395,0.399,0.396,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=1.84)",True,True
2019-05-31,D24,O,0,0,380,500,29.881,-6.785,,,9.9189,-0.57,0.2086,F,slope_filter,0.93787,0.87961,0.56,0.775,0.584,0.573,0.574,0.575,0.564,0.557,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.57)",True,True
2019-05-31,D24,O,0,2,380,500,31.358,-6.643,,,9.8104,0.11,0.0287,F,slope_filter,0.94733,0.89744,0.47,0.78,0.478,0.47,0.485,0.484,0.487,0.479,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.11)",True,True
2019-05-31,D24,O,2,-3,380,500,31.543,-7.891,,,9.8356,3.44,0.2379,F,slope_filter,0.94841,0.89949,0.46,0.95,0.462,0.465,0.461,0.462,0.465,0.473,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=3.44)",True,True
2019-05-31,D24,O,2,-1,380,500,31.925,-6.389,,,9.8718,0.87,0.2371,F,slope_filter,0.95058,0.9036,0.44,0.311,0.449,0.453,0.441,0.448,0.452,0.442,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.87)",True,True
2019-05-31,D24,O,2,2,380,500,28.69,-7.481,,,9.8304,-0.88,0.0631,F,slope_filter,0.92907,0.86317,0.64,1.404,0.664,0.639,0.644,0.674,0.672,0.682,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.88)",True,True
2019-05-31,D24,O,3,0,380,500,31.412,-7.55,,,9.9046,-0.71,0.2172,F,slope_filter,0.94765,0.89804,0.47,0.783,0.467,0.475,0.478,0.476,0.473,0.477,,False,,False,"broken: |dλ/dV| < 10 pm/V (slope filter, |dλ/dV|=0.71)",True,True
2019-06-03,D24,O,-4,-1,380,500,29.868,-8.519,41.34,2.067,9.758,-118.03,0.9791,B,ok,0.93778,0.87944,0.56,1.689,0.575,0.564,0.558,0.604,0.581,0.573,,False,,False,,False,False
2019-06-03,D24,O,-3,-3,380,500,31.996,-9.754,37.35,1.8675,9.7673,-130.75,0.9161,C,ok,0.95097,0.90435,0.44,1.475,0.476,0.458,0.441,0.444,0.469,0.474,,False,,False,,False,False
2019-06-03,D24,O,-3,0,380,500,32.033,-7.907,38.19,1.9095,9.7245,-127.31,0.9908,A,ok,0.95117,0.90473,0.43,1.493,0.438,0.437,0.445,0.457,0.45,0.452,,False,,False,,False,False
2019-06-03,D24,O,-3,2,380,500,29.014,-7.995,40.4,2.02,9.8324,-121.69,0.9459,C,ok,0.93158,0.86783,0.62,1.439,0.704,0.693,0.631,0.626,0.671,0.616,,False,,False,,False,False
2019-06-03,D24,O,-1,-3,380,500,31.671,-8.967,39.5,1.975,9.7842,-123.84,0.979,B,ok,0.94915,0.90088,0.45,0.904,0.571,0.478,0.499,0.607,0.457,0.559,,False,,False,,False,False
2019-06-03,D24,O,-1,-1,380,500,31.376,-6.944,44.23,2.2115,9.8525,-111.39,0.8788,D,ok,0.94744,0.89764,0.47,0.963,0.59,0.518,0.618,0.612,0.469,0.554,,False,,False,,False,False
2019-06-03,D24,O,-1,3,380,500,32.741,-8.506,38.16,1.908,9.8243,-128.72,0.9584,B,ok,0.95491,0.91185,0.4,1.166,0.44,0.456,0.422,0.415,0.403,0.412,,False,,False,,False,False
2019-06-03,D24,O,0,-4,380,500,33.284,-8.225,42.95,2.1475,9.7578,-113.59,0.9652,B,ok,0.95758,0.91697,0.38,1.417,0.408,0.383,0.403,0.378,0.438,0.402,,False,,False,,False,False
2019-06-03,D24,O,0,0,380,500,30.201,-6.855,43.37,2.1685,9.9076,-114.23,0.976,B,ok,0.94005,0.8837,0.54,0.852,0.564,0.57,0.591,0.552,0.589,0.539,,False,,False,,False,False
2019-06-03,D24,O,0,2,380,500,32.125,-6.539,41.84,2.092,9.838,-117.58,0.8615,D,ok,0.95168,0.90569,0.43,0.601,0.51,0.481,0.43,0.456,0.493,0.506,,False,,False,,False,False
2019-06-03,D24,O,2,-3,380,500,31.565,-7.892,40.19,2.0095,9.7933,-121.84,0.9857,B,ok,0.94854,0.89973,0.46,0.976,0.475,0.463,0.478,0.477,0.472,0.463,,False,,False,,False,False
2019-06-03,D24,O,2,-1,380,500,33.118,-6.458,45.97,2.2985,9.8985,-107.66,0.9964,A,ok,0.95678,0.91544,0.38,0.57,0.424,0.399,0.386,0.387,0.422,0.406,,False,,False,,False,False
