Date,Wafer,Band,Row,Col,Width_nm,Length_um,ER_dB,IL_dB,Vpi_V,Vpi_L_V_cm,R2_dlam_vs_V,quality_grade,imbalance_dB,mzm_loss_dB,overall,vpi_extraction,er_phys,il_phys,vpi_phys,er_z,il_z,vpi_z,linearity,imbalance,loss,notes,figures
2019-05-26,D08,O,-4,-1,380,500,29.897,-8.174,26.78,1.339,0.9859,B,0.56,1.317,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-4,-1).png"
2019-05-26,D08,O,-3,-3,380,500,30.202,-9.367,29.32,1.466,0.9977,A,0.54,1.832,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-3,-3).png"
2019-05-26,D08,O,-3,0,380,500,31.749,-8.149,29.5,1.475,0.9862,B,0.45,1.506,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-3,0).png"
2019-05-26,D08,O,-3,2,380,500,32.285,-8.518,26.46,1.323,0.9878,B,0.42,1.451,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-3,2).png"
2019-05-26,D08,O,-1,-3,380,500,32.17,-7.512,28.49,1.4245,0.9835,B,0.43,1.943,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-1,-3).png"
2019-05-26,D08,O,-1,-1,380,500,30.274,-6.595,30.46,1.523,0.989,B,0.53,0.468,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-1,-1).png"
2019-05-26,D08,O,-1,3,380,500,32.435,-8.897,26.34,1.317,0.986,B,0.42,1.423,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(-1,3).png"
2019-05-26,D08,O,0,-4,380,500,32.383,-8.239,27.28,1.364,0.9943,A,0.42,1.275,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(0,-4).png"
2019-05-26,D08,O,0,0,380,500,31.172,-6.248,30.36,1.518,0.9959,A,0.48,0.279,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(0,0).png"
2019-05-26,D08,O,0,2,380,500,30.347,-6.932,27.58,1.379,0.9934,A,0.53,0.957,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(0,2).png"
2019-05-26,D08,O,2,-3,380,500,32.134,-7.603,28.1,1.405,0.9779,B,0.43,0.767,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(2,-3).png"
2019-05-26,D08,O,2,-1,380,500,32.724,-6.275,27.81,1.3905,0.9889,B,0.4,0.147,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(2,-1).png"
2019-05-26,D08,O,2,2,380,500,33.164,-6.498,27.6,1.38,0.996,A,0.38,0.685,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(2,2).png"
